,Location,Borough,Date Installed,geometry,B7SCList,B7SCStartingPoints,CrossStreets,NodeList,SimilarNamesList,StartingXStreets,combined_san1_boro_vol_page,combined_san2_boro_vol_page,in_boro,in_boro2,in_func_code,in_stname1,in_stname2,out_ad,out_atomic_polygon,out_boro_name1,out_cd,out_cd_eligible,out_cdta_2020,out_census_block_2020,out_census_tract_2000,out_census_tract_2010,out_census_tract_2020,out_co,out_com_dist,out_compass,out_dcp_pref_lgc1,out_dcp_pref_lgc2,out_dot_st_light_contract_area,out_error_message,out_fire_bat,out_fire_co,out_fire_co_str,out_fire_div,out_grc,out_health_area,out_health_center_dist,out_latitude,out_lion_node_num,out_longitude,out_mc,out_nta_2020,out_police_patrol_boro,out_police_pct,out_police_sector,out_reason_code,out_san_dist_section,out_san_sub_section,out_sanborn1_boro,out_sanborn1_page,out_sanborn1_vol,out_sanborn2_boro,out_sanborn2_page,out_sanborn2_vol,out_school_dist,out_sd,out_stname1,out_stname2,out_wa1_message,out_x_coord,out_y_coord,out_zip_code,AuxiliarySegmentIDList,HighB7SCList,LowB7SCList,add_from_st_code_name,add_on_st_code_name,add_to_st_code_name,dcp_preferred_from_st_code_name,dcp_preferred_to_st_code_name,in_boro3,in_compass_dir,in_stname3,out_No_Parking_lanes,out_No_Traveling_lanes,out_Total_Lanes,out_bike_lane,out_bike_traffic_direction,out_boro_name2,out_boro_name3,out_curve_flag,out_curve_flag_direction,out_dot_street_light_contract_area,out_dsny_snow_priority,out_feature_type,out_from_latitude,out_from_longitude,out_from_node,out_from_x_coord,out_from_y_coord,out_generic_id,out_grc2,out_left_nta,out_left_police_sector,out_left_side_atomic_polygon,out_left_side_blockface_id,out_left_side_boro,out_left_side_cd_eligibility,out_left_side_cdta_2020,out_left_side_census_block_2000,out_left_side_census_block_2010,out_left_side_census_block_2020,out_left_side_census_block_suffix_2020,out_left_side_census_tract_2000,out_left_side_census_tract_2010,out_left_side_census_tract_2020,out_left_side_comdist,out_left_side_comdist_boro,out_left_side_dot_street_light_contract_area,out_left_side_fire_bat,out_left_side_fire_co,out_left_side_fire_div,out_left_side_health_area,out_left_side_health_center_dist,out_left_side_hhnd,out_left_side_iaei,out_left_side_lhnd,out_left_side_nta_2020,out_left_side_police_patrol_boro,out_left_side_police_pct,out_left_side_police_sector,out_left_side_puma_code,out_left_side_school_dist,out_left_side_zip_code,out_lionkey,out_loc_status,out_on_street_b7sc_name,out_pgb_flag,out_physical_id,out_right_nta,out_right_of_way_type,out_right_police_sector,out_right_side_atomic_polygon,out_right_side_blockface_id,out_right_side_boro,out_right_side_cd_eligibility,out_right_side_cdta_2020,out_right_side_census_block_2000,out_right_side_census_block_2010,out_right_side_census_block_2020,out_right_side_census_block_suffix_2020,out_right_side_census_tract_2000,out_right_side_census_tract_2010,out_right_side_census_tract_2020,out_right_side_comdist,out_right_side_comdist_boro,out_right_side_dot_street_light_contract_area,out_right_side_fire_bat,out_right_side_fire_co,out_right_side_fire_div,out_right_side_health_area,out_right_side_health_center_dist,out_right_side_hhnd,out_right_side_iaei,out_right_side_lhnd,out_right_side_nta_2020,out_right_side_police_patrol_boro,out_right_side_police_pct,out_right_side_police_sector,out_right_side_puma_code,out_right_side_school_dist,out_right_side_zip_code,out_roadway_type,out_seg_side_atomic_polygon,out_seg_side_blockface_id,out_seg_side_boro,out_seg_side_cd_eligibility,out_seg_side_cdta_2020,out_seg_side_census_block_2000,out_seg_side_census_block_2010,out_seg_side_census_block_2020,out_seg_side_census_tract_2000,out_seg_side_census_tract_2010,out_seg_side_census_tract_2020,out_seg_side_comdist,out_seg_side_comdist_boro,out_seg_side_fire_bat,out_seg_side_fire_co,out_seg_side_fire_div,out_seg_side_health_area,out_seg_side_health_center_dist,out_seg_side_hhnd,out_seg_side_lhnd,out_seg_side_nta,out_seg_side_nta_2020,out_seg_side_police_patrol_boro,out_seg_side_police_pct,out_seg_side_puma_code,out_seg_side_school_dist,out_seg_side_zip_code,out_segment_id,out_segment_len,out_segment_type,out_sos_ind,out_speed_limit,out_stname3,out_street_width_irregular,out_street_width_max,out_street_width_min,out_to_latitude,out_to_longitude,out_to_node,out_to_x_coord,out_to_y_coord,out_traffic_direction,out_truck_route_type
10,20th Avenue and 64th Street,Brooklyn,9/17/2021,POINT (40.617125 -73.985232),,,,,"[{'b7sc': '30708001', 'streetName': '  20 AVENUE                     '}, {'b7sc': '30978001', 'streetName': '  64 STREET                     '}]",,3/10A/028 ,3/10A/029 ,3,3,2W,20TH AVENUE                     ,64TH STREET                     ,49,204,BROOKLYN ,09,CD Eligible,BK11,2002, 254  , 254  , 254  ,47,311, ,30708001/   20 AVENUE                     ,30978001/   64 STREET                     ,3,                                                                                ,42,Ladder 172,Ladder 172,8,00,83.00,31,40.617125,0013687,-73.985232 ,5,BK1101,BS,62, 62B, ,311/ 111,1D,3,028 ,10A,3,029 ,10A,20,17,  20 AVENUE                     ,  64 STREET                     ,                                                                                ,988350,164112,11204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3rd Avenue and 16th Street,Brooklyn,5/25/2021,POINT (40.667254 -73.994543),,,,,"[{'b7sc': '30528001', 'streetName': '   3 AVENUE                     '}, {'b7sc': '30673001', 'streetName': '  16 STREET                     '}]",,3/01 /046 ,3/06 /022 ,3,3,2W,3RD AVENUE                      ,16TH STREET                     ,51,302,BROOKLYN ,10,CD Eligible,BK06,3000, 117  , 117  , 117  ,39,307, ,30528001/    3 AVENUE                     ,30673001/   16 STREET                     ,3,                                                                                ,48,Engine 239,Engine 239,11,00,43.00,38,40.667254,0014744,-73.994543 ,5,BK0601,BS,72, 72A, ,307/ 072,2C,3,046 ,01 ,3,022 ,06 ,15,26,   3 AVENUE                     ,  16 STREET                     ,                                                                                ,985764,182375,11215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3rd Avenue and 33rd Street,Brooklyn,10/23/2015,POINT (40.657203 -74.004678),,,,,"[{'b7sc': '30528001', 'streetName': '   3 AVENUE                     '}, {'b7sc': '30823001', 'streetName': '  33 STREET                     '}, {'b7sc': '34469001', 'streetName': 'GOWANUS EXPRESSWAY              '}]",,3/06 /017 ,3/06 /011 ,3,3,2W,3RD AVENUE                      ,33RD STREET                     ,51,106,BROOKLYN ,10,Not CD Eligible,BK07,1009,  18  ,  18  ,  18.02,38,307, ,30528001/    3 AVENUE                     ,30823001/   33 STREET                     ,3,                                                                                ,40,Engine 228,Engine 228,8,00,44.00,39,40.657203,0013966,-74.004678 ,5,BK0702,BS,72, 72B, ,307/ 072,2D,3,017 ,06 ,3,011 ,06 ,15,26,   3 AVENUE                     ,  33 STREET                     ,                                                                                ,982952,178713,11232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3rd Avenue and 59th Street,Brooklyn,10/10/2020,POINT (40.642604 -74.019804),,,,,"[{'b7sc': '30528001', 'streetName': '   3 AVENUE                     '}, {'b7sc': '30953001', 'streetName': '  59 STREET                     '}, {'b7sc': '34469001', 'streetName': 'GOWANUS EXPRESSWAY              '}]",,3/06A/015 ,3/06A/017 ,3,3,2W,3RD AVENUE                      ,59TH STREET                     ,51,203,BROOKLYN ,10,Not CD Eligible,BK07,2002,  22  ,  22  ,  22  ,38,307, ,30528001/    3 AVENUE                     ,30953001/   59 STREET                     ,3,                                                                                ,40,Ladder 114,Ladder 114,8,00,65.00,39,40.642604,0012155,-74.019804 ,5,BK0702,BS,72, 72B, ,307/ 074,4C,3,015 ,06A,3,017 ,06A,20,26,   3 AVENUE                     ,  59 STREET                     ,                                                                                ,978754,173395,11220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3rd Avenue at 9th Street,Brooklyn,1/14/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4th Avenue and 240' South of 3rd Street (mid-block),Brooklyn,4/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4th Avenue and 36th Street,Brooklyn,3/29/2016,POINT (40.65431 -74.004418),,,,,"[{'b7sc': '30543001', 'streetName': '   4 AVENUE                     '}, {'b7sc': '30838001', 'streetName': '  36 STREET                     '}, {'b7sc': '30027601', 'streetName': 'CAPTAIN DENNIS MORALES WAY      '}]",,3/06A/022 ,3/06 /017 ,3,3,2W,4TH AVENUE                      ,36TH STREET                     ,51,104,BROOKLYN ,10,Not CD Eligible,BK07,1002,  84  ,  84  ,  84  ,38,307, ,30543001/    4 AVENUE                     ,30838001/   36 STREET                     ,3,                                                                                ,40,Engine 228,Engine 228,8,00,44.00,39,40.654310,0014007,-74.004418 ,5,BK0702,BS,72, 72B, ,307/ 072,2D,3,022 ,06A,3,017 ,06 ,15,26,   4 AVENUE                     ,  36 STREET                     ,                                                                                ,983024,177659,11232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4th Avenue and 39th Street,Brooklyn,10/15/2015,POINT (40.652627 -74.006163),,,,,"[{'b7sc': '30543001', 'streetName': '   4 AVENUE                     '}, {'b7sc': '30853001', 'streetName': '  39 STREET                     '}]",,3/06A/022 ,,3,3,2W,4TH AVENUE                      ,39TH STREET                     ,51,202,BROOKLYN ,10,Not CD Eligible,BK07,2001,  84  ,  84  ,  84  ,38,307, ,30543001/    4 AVENUE                     ,30853001/   39 STREET                     ,3,                                                                                ,40,Engine 228,Engine 228,8,00,44.00,39,40.652627,0013952,-74.006163 ,5,BK0702,BS,72, 72B, ,307/ 072,2D,3,022 ,06A, ,    ,   ,15,26,   4 AVENUE                     ,  39 STREET                     ,                                                                                ,982540,177046,11232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4th Avenue and 44th Street,Brooklyn,10/21/2015,POINT (40.649822 -74.009089),,,,,"[{'b7sc': '30543001', 'streetName': '   4 AVENUE                     '}, {'b7sc': '30878001', 'streetName': '  44 STREET                     '}]",,3/06A/020 ,3/06A/021 ,3,3,2W,4TH AVENUE                      ,44TH STREET                     ,51,101,BROOKLYN ,10,CD Eligible,BK07,1001,  80  ,  80  ,  80  ,38,307, ,30543001/    4 AVENUE                     ,30878001/   44 STREET                     ,3,                                                                                ,40,Engine 201,Engine 201,8,00,66.00,39,40.649822,0013882,-74.009089 ,5,BK0702,BS,72, 72C, ,307/ 072,2E,3,020 ,06A,3,021 ,06A,15,26,   4 AVENUE                     ,  44 STREET                     ,                                                                                ,981728,176024,11220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4th Avenue and 45th Street,Brooklyn,10/26/2015,POINT (40.64927 -74.009665),,,,,"[{'b7sc': '30543001', 'streetName': '   4 AVENUE                     '}, {'b7sc': '30883001', 'streetName': '  45 STREET                     '}]",,3/06A/020 ,,3,3,2W,4TH AVENUE                      ,45TH STREET                     ,51,101,BROOKLYN ,10,CD Eligible,BK07,1001,  80  ,  80  ,  80  ,38,307, ,30543001/    4 AVENUE                     ,30883001/   45 STREET                     ,3,                                                                                ,40,Engine 201,Engine 201,8,00,66.00,39,40.649270,0013869,-74.009665 ,5,BK0702,BS,72, 72C, ,307/ 073,3C,3,020 ,06A, ,    ,   ,15,26,   4 AVENUE                     ,  45 STREET                     ,                                                                                ,981568,175823,11220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
