LineNumber,Location,Borough,Errors
192,Flatbush Avenue with Nostrand Avenue and Hillel Place,Brooklyn,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
200,Flushing Avenue with Nostrand Avenue and Lee Avenue,Brooklyn,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
202,Fort Hamilton Parkway with 6th Avenue and 84th Street,Brooklyn,                                                                                
205,Franklin Avenue and Lafayette Avenue,Brooklyn,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
206,Ft. Hamilton Parkway with 44th Street and New Utrecht Avenue,Brooklyn,                                                                                
213,Fulton Street and Kingston Avenue (mid-block),Brooklyn,'KINGSTON AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.      
219,Fulton Street and Thomas S Boyland Street (Hopkinson Avenue),Brooklyn,'THOMAS S BOYLAND STREET (HOPKINS' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
223,Fulton Street with Lafayette Avenue and Fort Greene Place,Brooklyn,                                                                                
224,Fulton Street with Ralph Avenue and Macdougal Street,Brooklyn,                                                                                
225,Gerritsen Avenue and Avenue R (South Leg),Brooklyn,'AVENUE R (SOUTH LEG)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.             
226,Gerritsen Avenue and Avenue S,Brooklyn,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
230,Graham Avenue and Maujer Street (500' South),Brooklyn,'MAUJER STREET (500' SOUTH)' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.       
232,Graham Avenue with Richardson Street and Herbert Street,Brooklyn,                                                                                
233,Grand Army Plaza (North) and Pedestrian Crossing (mid-block),Brooklyn,'GRAND ARMY PLAZA (NORTH)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.         
234,Grand Street with Waterbury Street and Olive Street,Brooklyn,                                                                                
236,Hillel Place and Campus Road (North Side),Brooklyn,'CAMPUS ROAD (NORTH SIDE)' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES.         
239,Jay Street and 165' S/O Tillary Street,Brooklyn,'165' S/O TILLARY STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES            
240,Jay Street and Metrotech Roadway (North Leg),Brooklyn,'METROTECH ROADWAY (NORTH LEG)' NOT RECOGNIZED. THERE ARE 007 SIMILAR NAMES.    
241,Jay Street and Metrotech Roadway (South Leg),Brooklyn,'METROTECH ROADWAY (SOUTH LEG)' NOT RECOGNIZED. THERE ARE 007 SIMILAR NAMES.    
243,Jay Street/Smith Street and Fulton Street,Brooklyn,'JAY STREET/SMITH STREET' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES.          
251,Lafayette Avenue and Emerson Place (mid-block),Brooklyn,'EMERSON PLACE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.        
253,Linden Boulevard and Christopher Avenue (mid-block),Brooklyn,'CHRISTOPHER AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.   
263,Myrtle Avenue and Marcus Garvey Boulevard (Sumner Avenue),Brooklyn,'MARCUS GARVEY BOULEVARD (SUMNER' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.  
264,Myrtle Avenue and Pedestrian Crossing (Hudson Walk) (mid-block),Brooklyn,'PEDESTRIAN CROSSING (HUDSON WALK' NOT RECOGNIZED. THERE ARE 007 SIMILAR NAMES. 
267,Neptune Avenue and Brighton 8th Street,Brooklyn,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
272,Neptune Avenue with Shell Road and West 8th Street,Brooklyn,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
275,New Lots Avenue with Miller Avenue and Riverdale Avenue,Brooklyn,                                                                                
278,North Conduit Boulevard and Grant Avenue,Brooklyn,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
286,Nostrand Avenue and Willoughby Avenue,Brooklyn,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
287,Ocean Avenue and Prospect Park North Entrance (mid-block),Brooklyn,'PROSPECT PARK NORTH ENTRANCE (MI' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
288,Ocean Avenue and Prospect Park South Entrance (mid-block),Brooklyn,'PROSPECT PARK SOUTH ENTRANCE (MI' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
294,Ocean Parkway and Church Avenue,Brooklyn,STREETS INTERSECT MORE THAN TWICE - USE NODE AS INPUT                           
297,"Old Fulton Street with Water Street, Everit Street and Furman Street",Brooklyn,"'WATER STREET, EVERIT STREET' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES.      "
298,Park Avenue and Saint Edwards Street,Brooklyn,STREETS INTERSECT MORE THAN TWICE - USE NODE AS INPUT                           
300,Pennsylvania Avenue and Freeport Loop (North Leg),Brooklyn,'FREEPORT LOOP (NORTH LEG)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.        
307,Ralph Avenue between Avenue K and Avenue L (mid-block),Brooklyn,'AVENUE L (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.             
308,Ralph Avenue with Avenue M and East 65th Street,Brooklyn,                                                                                
309,Ralph Avenue with Beverly Road and Avenue B,Brooklyn,                                                                                
311,Remsen Avenue with Clarkson Avenue (South Leg) and East 56th Street,Brooklyn,'CLARKSON AVENUE (SOUTH LEG)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.      
316,Rockaway Pkwy at Brookdale Hospital entrance (w of Linden Blvd),Brooklyn,'BROOKDALE HOSPITAL ENTRANCE (W O' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
321,Rutland Road with East 52nd Street and Remsen Avenue,Brooklyn,STREET COMBINATION NOT UNIQUE                                                   
325,Shore Parkway and BJ's Driveway (1752 Shore Parkway),Brooklyn,'BJ'S DRIVEWAY (1752 SHORE PARKWA' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES   
326,Shore Parkway and Voorhies Avenue,Brooklyn,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
330,South Conduit Boulevard and Grant Avenue,Brooklyn,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
331,South Conduit Boulevard and Sheridan Avenue,Brooklyn,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
334,Stillwell Avenue between Bay 50th Street and Harway Avenue (mid-block),Brooklyn,'HARWAY AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.        
335,Stillwell Avenue with 25th Avenue and 84th Street,Brooklyn,                                                                                
345,West 12th Street between Surf Avenue and Neptune Avenue (mid-block),Brooklyn,'NEPTUNE AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES.       
357,1st Avenue and East 107th Street (mid-block),Manhattan,'EAST 107TH STREET (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES.    
359,1st Avenue and East 122nd Street,Manhattan,EAST  122 STREET &    1 AVENUE DO NOT INTERSECT                                 
370,1st Avenue and East 28th Street,Manhattan,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
376,2nd Avenue and East 98th Street,Manhattan,EAST   98 STREET &    2 AVENUE DO NOT INTERSECT                                 
377,2nd Avenue and Pedestrian Crossing (East 107th Street),Manhattan,'PEDESTRIAN CROSSING (EAST 107TH' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.  
378,2nd Avenue and Pedestrian Crossing (East 114th Street),Manhattan,'PEDESTRIAN CROSSING (EAST 114TH' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.  
379,2nd Avenue and Stuyvesant Square (East 16th Street),Manhattan,'STUYVESANT SQUARE (EAST 16TH STR' NOT RECOGNIZED. THERE ARE 009 SIMILAR NAMES. 
381,3rd Avenue and East 59th Street (Lighthouse),Manhattan,'EAST 59TH STREET (LIGHTHOUSE)' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.    
384,3rd Avenue and Pedestrian Crossing at East 113th Street,Manhattan,'3RD AVENUE & PEDESTRIAN CROSSING' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
385,3rd Avenue and Pedestrian Crossing at East 114th Street,Manhattan,'3RD AVENUE & PEDESTRIAN CROSSING' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
387,5th Avenue and 58th Street and Grand Army Plaza,Manhattan,'5TH AVENUE & 58TH STREET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.         
390,5th Avenue at Pedestrian Crossing (West/East 113th Street),Manhattan,STREET NAME CANNOT BE NORMALIZED                                                
391,5th Avenue with East 124th and West 124th Streets,Manhattan,'WEST 124TH STREETS' NOT RECOGNIZED. IS IT 'WEST  124 STREET'?                  
392,5th Avenue with East and West 8th Street,Manhattan,'EAST' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.                             
393,6th Avenue / Avenue of The Americas and West 9th Street,Manhattan,'6TH AVENUE / AVENUE OF THE AMERI' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES. 
400,7th Avenue with Bleecker Street and Barrow Street,Manhattan,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
401,"7th Avenue with Varick Street, Clarkson Street and Carmine Street",Manhattan,"'VARICK STREET, CLARKSON STREET' NOT RECOGNIZED. IS IT 'VARICK STREET'?         "
409,8th Avenue between West 31st and West 32nd Streets,Manhattan,'WEST 32ND STREETS' NOT RECOGNIZED. IS IT 'WEST   32 STREET'?                   
414,Amsterdam Avenue and 250' South of West 138th Street (mid-block),Manhattan,'250' SOUTH OF WEST 138TH STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES    
415,Amsterdam Avenue and Cathedral Parkway (West 110th Street),Manhattan,'CATHEDRAL PARKWAY (WEST 110TH ST' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. 
416,Amsterdam Avenue and Pedestrian crossing 200' North of West 62nd Street,Manhattan,'PEDESTRIAN CROSSING 200' NORTH O' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
426,Amsterdam Avenue at Pedestrian Crossing (West 117th Street),Manhattan,'PEDESTRIAN CROSSING (WEST 117TH' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.  
427,Amsterdam Avenue pedestrian crossing (btwn West 123rd and La Salle Sts),Manhattan,'AMSTERDAM AVENUE PEDESTRIAN CROS' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. 
430,Avenue D and East 11th Street,Manhattan,EAST   11 STREET & AVENUE D DO NOT INTERSECT                                    
432,Avenue of the Americas and 23rd Street (Selis Manor),Manhattan,'23RD STREET (SELIS MANOR)' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES.        
437,Avenue of the Americas with Dominick Street  and Clark Street,Manhattan,'CLARK STREET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.                     
440,Beekman Street and Williams Street,Manhattan,'WILLIAMS STREET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.                  
441,Broadway and 5th Avenue between 23rd Street and 24th Street,Manhattan,'BROADWAY & 5TH AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.            
442,Broadway and 7th Avenue with West 43rd Street,Manhattan,'BROADWAY & 7TH AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.            
443,Broadway and 7th Avenue with West 44th Street,Manhattan,'BROADWAY & 7TH AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.            
444,Broadway and 7th Avenue with West 45th Street,Manhattan,'BROADWAY & 7TH AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.            
445,Broadway and 7th Avenue with West 46th Street,Manhattan,'BROADWAY & 7TH AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.            
447,Broadway and Bowling Green,Manhattan,BOWLING GREEN & BROADWAY DO NOT INTERSECT                                       
448,Broadway and Columbus Avenue with West 65 Street,Manhattan,'BROADWAY & COLUMBUS AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.       
449,Broadway and Sherman Avenue,Manhattan,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
451,Broadway and West 117th Street (midblock crossing),Manhattan,'WEST 117TH STREET (MIDBLOCK CROS' NOT RECOGNIZED. IS IT 'WEST  117 STREET'?    
463,Broadway and West 23rd Street,Manhattan,WEST   23 STREET & BROADWAY DO NOT INTERSECT                                    
471,Broadway at Cathedral Parkway (West 110th Street),Manhattan,'CATHEDRAL PARKWAY (WEST 110TH ST' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. 
473,Broadway with Dyckman Street and Riverside Drive,Manhattan,                                                                                
474,Broadway with West 126th Street and 129th Street,Manhattan,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
475,Broadway with West 218th Street and 10th Avenue,Manhattan,                                                                                
476,Central Park West and Pedestrian Crossing (West 79th Street),Manhattan,'PEDESTRIAN CROSSING (WEST 79TH S' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
478,Central Park West and West 65th Street (North/East/West Legs-Phase II),Manhattan,'WEST 65TH STREET (NORTH/EAST/WES' NOT RECOGNIZED. IS IT 'WEST   65 STREET'?    
479,Central Park West and West 65th Street (South Leg-Phase I),Manhattan,'WEST 65TH STREET (SOUTH LEG-PHAS' NOT RECOGNIZED. IS IT 'WEST   65 STREET'?    
483,Centre Street and Brooklyn Bridge Exit,Manhattan,BROOKLYN BRIDGE EXIT RAMP & CENTRE STREET DO NOT INTERSECT                      
485,Centre Street and Franklin Walk,Manhattan,'FRANKLIN WALK' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.                    
487,Church Street with Franklin Street and Avenue of the Americas,Manhattan,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
493,Columbus Avenue and West 98th Street Pedestrian Crossing,Manhattan,'WEST 98TH STREET PEDESTRIAN CROS' NOT RECOGNIZED. IS IT 'WEST   98 STREET'?    
495,Columbus Avenue midblock crossing between West 100th Street and West 104th Street (West 102nd Street),Manhattan,'COLUMBUS AVENUE MIDBLOCK CROSSIN' NOT RECOGNIZED. THERE ARE 009 SIMILAR NAMES. 
496,Columbus Avenue midblock crossing between West 100th Street and West 104th Street (West 103rd Street),Manhattan,'COLUMBUS AVENUE MIDBLOCK CROSSIN' NOT RECOGNIZED. THERE ARE 009 SIMILAR NAMES. 
497,Columbus Avenue midblock crossing between West 97th Street and West 100th Street (West 99th Street),Manhattan,'COLUMBUS AVENUE MIDBLOCK CROSSIN' NOT RECOGNIZED. THERE ARE 009 SIMILAR NAMES. 
499,East 116th Street with Manhattan Center for Science and Math and East River Plaza Mall,Manhattan,'MANHATTAN CENTER FOR SCIENCE & M' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
500,East 37th Street and FDR Drive,Manhattan,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
504,East Houston Street with Avenue D and Columbia Street,Manhattan,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
505,East Houston Street with Clinton Street and Avenue B,Manhattan,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
506,East Houston Street with Essex Street and Avenue A,Manhattan,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
510,Fifth Avenue and West 99th Street (pedestrian crossing),Manhattan,'WEST 99TH STREET (PEDESTRIAN CRO' NOT RECOGNIZED. IS IT 'WEST   99 STREET'?    
511,Fifth Avenue pedestrian crossing (btwn East 132nd and East 135th Streets),Manhattan,'FIFTH AVENUE PEDESTRIAN CROSSING' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES. 
516,Fort Washington Avenue between 165th Street and 168th Street (mid-block),Manhattan,'168TH STREET (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.         
517,Frederick Douglass Boulevard (8th Avenue) and West 125th Street,Manhattan,STREET NAME CANNOT BE NORMALIZED                                                
518,Frederick Douglass Boulevard and West 156th Street,Manhattan,WEST  156 STREET & FREDERICK DOUGLASS BOULEVARD DO NOT INTERSECT                
524,Grand Street and Ridge Street,Manhattan,RIDGE STREET & GRAND STREET DO NOT INTERSECT                                    
525,Greenwich Street and Barclay Street,Manhattan,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
527,Greenwich Street and Cortlandt Way (mid-block),Manhattan,'CORTLANDT WAY (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.        
529,La Guardia Place (West Broadway) and Washington Square South,Manhattan,'LA GUARDIA PLACE (WEST BROADWAY)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
530,Lafayette Street and Pedestrian crossing (Pearl Street),Manhattan,'PEDESTRIAN CROSSING (PEARL STREE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
535,Lexington Avenue and East 113th Street (Pedestrian Crossing),Manhattan,'EAST 113TH STREET (PEDESTRIAN CR' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
536,Lexington Avenue and East 114th Street (Pedestrian Crossing),Manhattan,'EAST 114TH STREET (PEDESTRIAN CR' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
542,Lexington Avenue and East 59th Street (Lighthouse),Manhattan,'EAST 59TH STREET (LIGHTHOUSE)' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.    
543,Madison Avenue and East 100th Street pedestrian crossing (mid-block),Manhattan,'EAST 100TH STREET PEDESTRIAN CRO' NOT RECOGNIZED. IS IT 'EAST  100 STREET'?    
544,Madison Avenue and East 113th Street pedestrian crossing (mid-block),Manhattan,'EAST 113TH STREET PEDESTRIAN CRO' NOT RECOGNIZED. IS IT 'EAST  113 STREET'?    
545,Madison Avenue and East 114th Street pedestrian crossing (mid-block),Manhattan,'EAST 114TH STREET PEDESTRIAN CRO' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES. 
547,Madison Avenue and East 133rd Street,Manhattan,EAST  133 STREET & MADISON AVENUE DO NOT INTERSECT                              
548,Madison Avenue and East 134th Street,Manhattan,EAST  134 STREET & MADISON AVENUE DO NOT INTERSECT                              
551,Madison Street and 300' west of Jackson Street,Manhattan,'300' WEST OF JACKSON STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES        
554,Malcolm X Boulevard (Lenox Avenue) and West 111th Street,Manhattan,'MALCOLM X BOULEVARD (LENOX AVENU' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES. 
555,Malcolm X Boulevard (Lenox Avenue) and West 145th Street,Manhattan,'MALCOLM X BOULEVARD (LENOX AVENU' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES. 
556,Murray Street and 270' West of West Street,Manhattan,'270' WEST OF WEST STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES           
557,Park Avenue  and East 113th Street pedestrian crossing (mid-block),Manhattan,'EAST 113TH STREET PEDESTRIAN CRO' NOT RECOGNIZED. IS IT 'EAST  113 STREET'?    
561,Park Avenue and East 59th Street (Lighthouse),Manhattan,'EAST 59TH STREET (LIGHTHOUSE)' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.    
567,Riverside Drive and 200’ North of West 181st Street (mid-block),Manhattan,'200? NORTH OF WEST 181ST STREET' NOT RECOGNIZED. IS IT ' 200 STREET'?          
569,Riverside Drive and West 101st Street (mid-block),Manhattan,'WEST 101ST STREET (MID-BLOCK)' NOT RECOGNIZED. IS IT 'WEST  101 STREET'?       
571,Riverside Drive and West 106th Street,Manhattan,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
572,Riverside Drive and West 112th Street (midblock crossing),Manhattan,'WEST 112TH STREET (MIDBLOCK CROS' NOT RECOGNIZED. IS IT 'WEST  112 STREET'?    
577,Riverside Drive and West 99th Street (mid-block),Manhattan,'WEST 99TH STREET (MID-BLOCK)' NOT RECOGNIZED. IS IT 'WEST   99 STREET'?        
579,Riverside Drive Northbound and Grants Tomb 450' North of West 122nd Street,Manhattan,'RIVERSIDE DRIVE NORTHBOUND' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.       
581,Riverside Drive Southbound and 450' North Of West 122nd Street,Manhattan,'RIVERSIDE DRIVE SOUTHBOUND' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.       
